task,split,env_id,episode_path,tcr@1,tcr@2,tcr@5,avg_tcr,ndtw,nsp,sr,cr,cspl,spl,gt_length,pred_length,num_gt,num_pred
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0178/traj_gt_pred_xyzk.npz,0.6385542168674698,0.7590361445783133,1.0,0.7991967871485944,0.6438265461440422,0.013375741603206093,1.0,0.0,1.0,1.0,211.94816037957844,210.38057254041092,249.0,249.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0181/traj_gt_pred_xyzk.npz,0.7128378378378378,1.0,1.0,0.9042792792792792,0.7239646480635181,0.9979980119520026,1.0,0.0,0.9989357746566062,0.9989357746566062,232.6830028864598,232.9308938469511,296.0,296.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0184/traj_gt_pred_xyzk.npz,0.2108626198083067,0.3226837060702875,0.8402555910543131,0.45793397231096905,0.3342639732302451,0.9939777012444792,1.0,0.0,1.0,1.0,242.66187678176152,234.49112184989147,313.0,313.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0187/traj_gt_pred_xyzk.npz,0.6395759717314488,1.0,1.0,0.8798586572438163,0.8025102064580986,0.0068262523120952755,1.0,0.0,0.9975293680415658,0.9975293680415658,215.2935312913577,215.82675978155933,283.0,283.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0190/traj_gt_pred_xyzk.npz,0.4413793103448276,0.8,1.0,0.7471264367816092,0.43638869314624434,0.9783913495879311,1.0,0.0,1.0,1.0,230.44238447851475,223.69912389844416,290.0,290.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0149/traj_gt_pred_xyzk.npz,0.3843137254901961,0.7843137254901961,1.0,0.7228758169934641,0.6357254537842654,0.0036384959871172246,1.0,0.0,0.995870007494146,0.995870007494146,187.99460917582368,188.77424539460162,255.0,255.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0153/traj_gt_pred_xyzk.npz,0.42528735632183906,0.9310344827586207,1.0,0.7854406130268199,0.7046737533884488,0.995921315065239,1.0,0.0,1.0,1.0,216.72600964107082,216.33674106256353,261.0,261.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0157/traj_gt_pred_xyzk.npz,0.47586206896551725,0.6103448275862069,0.6344827586206897,0.5735632183908046,0.0020851100326515046,0.7394462585635796,0.0,0.0,0.0,0.0,230.44239355992957,160.22225024169248,290.0,290.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0161/traj_gt_pred_xyzk.npz,0.2671009771986971,0.6938110749185668,1.0,0.6536373507057546,0.6012804415747246,0.01900458654671799,1.0,0.0,1.0,1.0,240.49998664423794,240.4236911087329,307.0,307.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0165/traj_gt_pred_xyzk.npz,0.7233333333333334,0.9433333333333334,1.0,0.888888888888889,0.7631502021558856,0.009201928273388192,1.0,0.0,0.9967941771292949,0.9967941771292949,230.4727255424264,231.21395653230388,300.0,300.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0169/traj_gt_pred_xyzk.npz,0.7137681159420289,1.0,1.0,0.9045893719806762,0.6484199989865639,0.986498819419378,1.0,0.0,1.0,1.0,212.61215937898692,212.3840575787808,276.0,276.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0173/traj_gt_pred_xyzk.npz,0.8237885462555066,1.0,1.0,0.9412628487518355,0.7913577530453443,0.0,1.0,0.0,1.0,1.0,179.71885569899257,178.46951060248222,227.0,227.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0176/traj_gt_pred_xyzk.npz,0.13733905579399142,0.26180257510729615,0.5708154506437768,0.32331902718168815,0.2382325951153568,0.0,1.0,0.0,1.0,1.0,196.03954605059766,188.3157251820291,233.0,233.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0179/traj_gt_pred_xyzk.npz,0.6992753623188406,1.0,1.0,0.8997584541062803,0.7114170122828379,0.9801576930903652,1.0,0.0,1.0,1.0,228.99123071404983,227.28730871921647,276.0,276.0
hl,unseen,2_city,task_hl/test_unseen/2_city/episode_0182/traj_gt_pred_xyzk.npz,0.5317460317460317,0.9761904761904762,1.0,0.8359788359788359,0.5956421621691732,0.0,1.0,0.0,0.9973369273133403,0.9973369273133403,208.36871704200485,208.92509976875667,252.0,252.0
